Date,Open,High,Low,Close,Volume From,Volume To
20.12.2024,97461.86,98233,92232.54,97805.44,62884.14,6022845238.83
21.12.2024,97805.44,99540.61,96398.39,97291.99,23483.54,2296232055.2
22.12.2024,97291.99,97448.08,94250.35,95186.27,19353.83,1857819866.36
23.12.2024,95186.27,96538.92,92520,94881.47,32810.77,3100007213.49
24.12.2024,94881.47,99487.99,93569.02,98663.58,23674.22,2287214424.71
25.12.2024,98663.58,99569.15,97632.02,99429.6,14474.17,1426143976.05
26.12.2024,99429.6,99963.7,95199.14,95791.6,21192.37,2049123567.38
27.12.2024,95791.6,97544.58,93500.01,94299.03,26501.26,2528567849.77
28.12.2024,94299.03,95733.99,94135.66,95300,8385.89,794651624.83
29.12.2024,95300,95340,93009.52,93738.2,13576.01,1278370863.98
30.12.2024,93738.2,95024.5,91530.45,92792.05,27619.42,2573126059.77
31.12.2024,92792.05,96250,92033.73,93576,19612.03,1845718801.91
01.01.2025,93576,95151.15,92888,94591.79,10373.33,975444194.14
02.01.2025,94591.79,97839.5,94392,96984.79,21970.49,2118411852.68
03.01.2025,96984.79,98976.91,96100.01,98174.18,15253.83,1486610768.59
04.01.2025,98174.18,98778.43,97514.79,98220.5,8990.06,881223751.63
05.01.2025,98220.5,98836.85,97276.79,98363.61,8095.64,793931715.95
06.01.2025,98363.61,102480,97920,102235.6,25263.43,2540561688.78
07.01.2025,102235.6,102724.38,96181.81,96954.61,32059.88,3170421659.71
08.01.2025,96954.61,97268.65,92500.9,95060.61,33704.68,3205849081.11
09.01.2025,95060.61,95382.32,91203.67,92552.49,34544.84,3217669887.24
10.01.2025,92552.49,95836,92206.02,94726.11,31482.86,2962085343.28
11.01.2025,94726.11,95050.94,93831.73,94599.99,7047.9,665685994.93
12.01.2025,94599.99,95450.1,93711.19,94545.06,8606.87,813278829.66
13.01.2025,94545.06,95940,89256.69,94536.1,42619.56,3930666134.34
14.01.2025,94536.1,97371,94346.22,96560.86,27846.62,2676048470.36
15.01.2025,96560.86,100681.94,96500,100497.35,30509.99,3006242382.89
16.01.2025,100497.35,100866.66,97335.13,99987.3,27832.85,2765162040.67
17.01.2025,99987.3,105865.22,99950.77,104077.48,39171.85,4040993985.49
18.01.2025,104077.48,104988.88,102277.55,104556.23,24307.83,2521522119.37
19.01.2025,104556.23,106422.43,99651.6,101331.57,43397.28,4513423971.41
20.01.2025,101331.57,109588,99550,102260.01,89529.23,9398787064.33
21.01.2025,102260.01,107240.81,100119.04,106143.82,45941.02,4768512258.16
22.01.2025,106143.82,106394.46,103339.12,103706.66,22248.69,2331144640.66
23.01.2025,103706.66,106850,101262.28,103910.34,53953.12,5610760848.15
24.01.2025,103910.34,107120,102750,104870.5,23609.24,2483818574.38
25.01.2025,104870.5,105286.52,104106.09,104746.85,9068.32,949511531.36
26.01.2025,104746.85,105500,102520.44,102620,9812.51,1024352365.47
27.01.2025,102620,103260,97777.77,102082.83,50758.13,5092886322.83
28.01.2025,102082.83,103800,100272.68,101335.52,22022.06,2253977324.04
29.01.2025,101335.52,104782.68,101328.01,103733.24,23155.36,2380383694.77
30.01.2025,103733.24,106457.44,103278.54,104722.94,19374.07,2038112603.51
31.01.2025,104722.94,106012,101560,102429.56,21983.18,2282174002.19
01.02.2025,102429.56,102783.71,100279.51,100635.65,12290.96,1250354228.24
02.02.2025,100635.65,101456.6,96150,97700.59,34619.5,3412084312.56
03.02.2025,97700.59,102500.01,91231,101328.52,75164.74,7228589180.73
04.02.2025,101328.52,101732.31,96150,97763.13,40267.99,3989698644.26
05.02.2025,97763.13,99149,96155,96612.43,26233.3,2562342153.83
06.02.2025,96612.43,99120,95676.64,96554.35,23515.2,2289071921.21
07.02.2025,96554.35,100137.99,95620.34,96506.8,31794.22,3107592434.68
08.02.2025,96506.8,96880,95688,96444.74,10147.24,977040267.52
09.02.2025,96444.74,97323.09,94713,96462.75,14120.92,1359495152.31
10.02.2025,96462.75,98345,95256,97430.82,20572.88,1999112052.66
11.02.2025,97430.82,98478.42,94876.88,95778.2,18647.76,1806534846.38
12.02.2025,95778.2,98119.99,94088.23,97869.99,29151.17,2800142168.41
13.02.2025,97869.99,98083.91,95217.36,96608.14,19921.78,1916988246.4
14.02.2025,96608.14,98826,96252.82,97500.48,18173.03,1768073218.87
15.02.2025,97500.48,97972.26,97223.58,97569.66,7349.38,717245393.78
16.02.2025,97569.66,97704.47,96046.18,96118.12,8191.42,794694242.3
17.02.2025,96118.12,97046.59,95205,95780,16492.05,1584593526.18
18.02.2025,95780,96753.91,93388.09,95671.74,23368.19,2223994802.89
19.02.2025,95671.74,96899.99,95029.99,96644.37,16438.51,1576817572.1
20.02.2025,96644.37,98711.36,96415.09,98305,17057.39,1663386824.74
21.02.2025,98305,99475,94871.95,96181.98,32249.28,3143975917.56
22.02.2025,96181.98,96980,95770.49,96551.01,11268.18,1087077133.83
23.02.2025,96551.01,96650,95227.94,96258,10884.85,1044392011.79
24.02.2025,96258,96500,91349.26,91552.88,31550.1,2981809595.44
25.02.2025,91552.88,92540.69,86050.99,88680.4,78333.11,6962982500.88
26.02.2025,88680.4,89414.15,82256.01,84250.09,56893.54,4898429925.64
27.02.2025,84250.09,87078.46,82716.49,84708.58,42505.45,3618738891.23
28.02.2025,84708.58,85120,78258.52,84349.94,83648.04,6806705236.7
01.03.2025,84349.94,86558,83824.78,86064.53,25785.05,2194003507.82
02.03.2025,86064.53,95000,85050.6,94270,54889.09,4972549515.81
